,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,SalePrice
22,20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,281.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,1777,1777,Ex,Y,SBrkr,1795,0,1795,0,2,0,3,1,Gd,7,1,Attchd,2002.0,RFn,2,534,Y,171,159,0,WD,Normal,230000
23,120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,No,GLQ,840,Unf,200,1040,TA,Y,SBrkr,1060,0,1060,1,1,0,3,1,TA,6,1,Attchd,1976.0,Unf,2,572,Y,100,110,0,WD,Normal,129900
24,20,RL,69.0,8246,IR1,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,0.0,TA,Gd,CBlock,TA,Mn,Rec,188,Other,204,1060,Ex,Y,SBrkr,1060,0,1060,1,1,0,3,1,Gd,6,1,Attchd,1968.0,Unf,1,270,Y,406,90,0,WD,Normal,154000
25,20,RL,110.0,14230,Reg,Lvl,Corner,Gtl,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,640.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,1566,1566,Ex,Y,SBrkr,1600,0,1600,0,2,0,3,1,Gd,7,1,Attchd,2007.0,RFn,3,890,Y,0,56,0,WD,Normal,256300
26,20,RL,60.0,7200,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,Mn,BLQ,234,Other,180,900,TA,Y,SBrkr,900,0,900,0,1,0,3,1,Gd,5,0,Detchd,2005.0,Unf,2,576,Y,222,32,0,WD,Normal,134800
27,20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,No,GLQ,1218,Unf,486,1704,Ex,Y,SBrkr,1704,0,1704,1,2,0,3,1,Gd,7,1,Attchd,2008.0,RFn,3,772,Y,0,50,0,WD,Normal,306000
28,20,RL,47.0,16321,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,Gd,BLQ,1277,Unf,207,1484,TA,Y,SBrkr,1600,0,1600,1,1,0,2,1,TA,6,2,Attchd,1957.0,RFn,1,319,Y,288,258,0,WD,Normal,207500
29,30,RM,60.0,6324,IR1,Lvl,Inside,Gtl,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,520,520,Fa,N,SBrkr,520,0,520,0,1,0,1,1,Fa,4,0,Detchd,1920.0,Unf,1,240,Y,49,0,87,WD,Normal,68500
30,70,C (all),50.0,8500,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,0.0,TA,Other,BrkTil,TA,No,Unf,0,Unf,649,649,TA,N,SBrkr,649,668,1317,0,1,0,3,1,TA,6,0,Detchd,1920.0,Unf,1,250,N,0,54,172,WD,Normal,40000
31,20,RL,69.0,8544,IR1,Lvl,CulDSac,Gtl,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,No,Unf,0,Unf,1228,1228,Gd,Y,SBrkr,1228,0,1228,0,1,1,3,1,Gd,6,0,Attchd,1966.0,Unf,1,271,Y,0,65,0,WD,Normal,149350
32,20,RL,85.0,11049,Reg,Lvl,Corner,Gtl,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,Av,Unf,0,Unf,1234,1234,Ex,Y,SBrkr,1234,0,1234,0,2,0,3,1,Gd,7,0,Attchd,2007.0,RFn,2,484,Y,0,30,0,WD,Normal,179900
33,20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,No,Rec,1018,Unf,380,1398,Gd,Y,SBrkr,1700,0,1700,0,1,1,4,1,Gd,6,1,Attchd,1959.0,RFn,2,447,Y,0,38,0,WD,Normal,165500
34,120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,246.0,Ex,TA,PConc,Ex,No,GLQ,1153,Unf,408,1561,Ex,Y,SBrkr,1561,0,1561,1,2,0,2,1,Ex,6,1,Attchd,2005.0,Fin,2,556,Y,203,47,0,WD,Normal,277500
35,60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,132.0,Gd,TA,PConc,Ex,Av,Unf,0,Unf,1117,1117,Ex,Y,SBrkr,1132,1320,2452,0,3,1,4,1,Gd,9,1,BuiltIn,2004.0,Fin,3,691,Y,113,32,0,WD,Normal,309000
36,20,RL,112.0,10859,Reg,Lvl,Corner,Gtl,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,No,Unf,0,Unf,1097,1097,Ex,Y,SBrkr,1097,0,1097,0,1,1,3,1,TA,6,0,Attchd,1995.0,Unf,2,672,Y,392,64,0,WD,Normal,145000
37,20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,650.0,TA,TA,CBlock,TA,No,Rec,1213,Unf,84,1297,Gd,Y,SBrkr,1297,0,1297,0,1,0,3,1,TA,5,1,Attchd,1954.0,Fin,2,498,Y,0,0,0,WD,Normal,153000
38,20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,No,GLQ,731,Unf,326,1057,TA,Y,SBrkr,1057,0,1057,1,1,0,3,1,Gd,5,0,Detchd,1953.0,Unf,1,246,Y,0,52,0,WD,Abnorml,109000
39,90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Edwards,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,0.0,TA,TA,PConc,TA,No,Unf,0,Unf,0,0,TA,N,Other,1152,0,1152,0,2,0,2,2,Fa,6,0,Attchd,2005.0,Unf,0,0,N,0,0,0,WD,Other,82000
40,20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,101.0,TA,TA,CBlock,TA,No,Rec,643,Unf,445,1088,Ex,Y,SBrkr,1324,0,1324,0,2,0,3,1,TA,6,1,Attchd,1965.0,RFn,2,440,Y,0,138,0,WD,Abnorml,160000
41,20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Timber,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,Gd,BLQ,967,Unf,383,1350,Gd,Y,SBrkr,1328,0,1328,0,1,1,2,1,TA,5,2,Attchd,1959.0,RFn,1,308,P,0,104,0,WD,Normal,170000
42,85,RL,69.0,9180,IR1,Lvl,CulDSac,Gtl,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,Av,ALQ,747,Other,0,840,Gd,Y,SBrkr,884,0,884,1,1,0,2,1,Gd,5,0,Attchd,1983.0,RFn,2,504,Y,240,0,0,WD,Normal,144000
43,20,RL,69.0,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,Av,LwQ,280,Other,167,938,TA,Y,SBrkr,938,0,938,1,1,0,3,1,TA,5,0,Detchd,1977.0,Unf,1,308,Y,145,0,0,WD,Normal,130250
44,20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,0.0,TA,TA,CBlock,TA,No,ALQ,179,Other,465,1150,Ex,Y,FuseA,1150,0,1150,1,1,0,3,1,TA,6,0,Attchd,1959.0,RFn,1,300,Y,0,0,0,WD,Normal,141000
45,120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,No,GLQ,456,Unf,1296,1752,Ex,Y,SBrkr,1752,0,1752,1,2,0,2,1,Ex,6,1,Attchd,2005.0,RFn,2,576,Y,196,82,0,WD,Normal,319900
46,50,RL,48.0,12822,IR1,Lvl,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,No,GLQ,1351,Unf,83,1434,Ex,Y,SBrkr,1518,631,2149,1,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,2,670,Y,168,43,0,WD,Abnorml,239686
47,20,FV,84.0,11096,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,Unf,1632,1656,Ex,Y,SBrkr,1656,0,1656,0,2,0,3,1,Gd,7,0,Attchd,2006.0,RFn,3,826,Y,0,146,0,WD,Normal,249700
48,190,RM,33.0,4456,Reg,Lvl,Inside,Gtl,OldTown,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,736,736,Gd,Y,SBrkr,736,716,1452,0,2,0,2,3,TA,8,0,Attchd,2005.0,Unf,0,0,N,0,0,102,New,Partial,113000
49,20,RL,66.0,7742,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,No,BLQ,763,Unf,192,955,Ex,Y,SBrkr,955,0,955,1,1,0,3,1,TA,6,0,Attchd,1966.0,Unf,1,386,Y,0,0,0,WD,Normal,127000
50,60,RL,69.0,13869,IR2,Lvl,Corner,Gtl,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,Av,GLQ,182,Unf,612,794,Gd,Y,SBrkr,794,676,1470,0,2,0,3,1,TA,6,0,Attchd,1997.0,Fin,2,388,Y,0,75,0,WD,Normal,177000
51,50,RM,52.0,6240,Reg,Lvl,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,No,Unf,0,Unf,816,816,TA,Y,SBrkr,816,0,1176,0,1,0,3,1,TA,6,1,Detchd,1985.0,Unf,2,528,Y,112,0,0,WD,Normal,114500
52,90,RM,110.0,8472,IR2,Bnk,Corner,Mod,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,0.0,Fa,TA,CBlock,Gd,Gd,LwQ,104,Other,0,816,TA,N,SBrkr,816,0,816,1,1,0,2,1,TA,5,0,CarPort,1963.0,Unf,2,516,Y,106,0,0,WD,Normal,110000
53,20,RL,68.0,50271,IR1,Low,Inside,Gtl,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,0.0,Gd,TA,CBlock,Ex,Gd,GLQ,1810,Unf,32,1842,Gd,Y,SBrkr,1842,0,1842,2,0,1,0,1,Gd,5,1,Attchd,1981.0,Fin,3,894,Y,857,72,0,WD,Normal,385000
54,80,RL,60.0,7134,Reg,Bnk,Inside,Mod,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,No,ALQ,384,Unf,0,384,TA,Y,SBrkr,1360,0,1360,0,1,0,3,1,TA,6,1,Detchd,1962.0,Unf,2,572,Y,0,50,0,WD,Normal,130000
55,20,RL,100.0,10175,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,272.0,TA,TA,CBlock,TA,No,BLQ,490,Unf,935,1425,Gd,Y,SBrkr,1425,0,1425,0,2,0,3,1,TA,7,1,Attchd,1964.0,RFn,2,576,Y,0,0,0,WD,Normal,180500
56,160,FV,24.0,2645,Reg,Lvl,Inside,Gtl,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,No,GLQ,649,Unf,321,970,Ex,Y,SBrkr,983,756,1739,1,2,1,3,1,Gd,7,0,Attchd,1999.0,Fin,2,480,Y,115,0,0,WD,Abnorml,172500
57,60,RL,89.0,11645,IR1,Lvl,Corner,Gtl,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,860,860,Ex,Y,SBrkr,860,860,1720,0,2,1,3,1,Gd,7,0,Attchd,2004.0,RFn,2,565,Y,0,70,0,WD,Normal,196500
58,60,RL,66.0,13682,IR2,HLS,CulDSac,Gtl,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,1031.0,Ex,TA,PConc,Ex,Gd,Unf,0,Unf,1410,1410,Ex,Y,SBrkr,1426,1519,2945,0,3,1,3,1,Gd,10,1,BuiltIn,2006.0,Fin,3,641,Y,192,0,37,New,Partial,438780
59,20,RL,60.0,7200,Reg,Bnk,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,Av,ALQ,632,Unf,148,780,Ex,Y,SBrkr,780,0,780,0,1,0,2,1,TA,4,0,Detchd,1973.0,Unf,1,352,Y,196,0,0,WD,Normal,124900
60,20,RL,63.0,13072,Reg,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,No,ALQ,941,Unf,217,1158,Ex,Y,SBrkr,1158,0,1158,1,1,1,3,1,Gd,5,0,Detchd,2006.0,Unf,2,576,Y,0,50,0,New,Partial,158000
61,75,RM,60.0,7200,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,530,530,TA,N,SBrkr,581,530,1111,0,1,0,3,1,Fa,6,0,Detchd,1935.0,Unf,1,288,N,0,0,144,WD,Normal,101000
62,120,RL,44.0,6442,IR1,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,178.0,Gd,TA,PConc,Gd,Mn,GLQ,24,Unf,1346,1370,Ex,Y,SBrkr,1370,0,1370,0,2,0,2,1,Gd,6,1,Attchd,2006.0,RFn,2,484,Y,120,49,0,WD,Normal,202500
63,70,RM,50.0,10300,IR1,Bnk,Inside,Gtl,OldTown,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,576,576,Gd,Y,SBrkr,902,808,1710,0,2,0,3,1,TA,9,0,Detchd,1990.0,Unf,2,480,Y,12,11,64,WD,Normal,140000
64,60,RL,69.0,9375,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,573.0,TA,TA,PConc,Gd,No,GLQ,739,Unf,318,1057,Ex,Y,SBrkr,1057,977,2034,1,2,1,3,1,Gd,8,0,Attchd,1998.0,RFn,2,645,Y,576,36,0,WD,Normal,219500
65,60,RL,76.0,9591,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,344.0,Gd,TA,PConc,Ex,Av,Unf,0,Unf,1143,1143,Ex,Y,SBrkr,1143,1330,2473,0,2,1,4,1,Gd,9,1,BuiltIn,2004.0,RFn,3,852,Y,192,151,0,WD,Normal,317000
66,20,RL,69.0,19900,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,7,5,1970,1989,Gable,Plywood,Plywood,287.0,TA,TA,CBlock,Gd,Gd,GLQ,912,Unf,1035,1947,TA,Y,SBrkr,2207,0,2207,1,2,0,3,1,TA,7,1,Attchd,1970.0,RFn,2,576,Y,301,0,0,WD,Normal,180000
67,20,RL,72.0,10665,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,167.0,Gd,TA,PConc,Gd,Av,GLQ,1013,Unf,440,1453,Ex,Y,SBrkr,1479,0,1479,1,2,0,3,1,Gd,7,0,Attchd,2003.0,RFn,2,558,Y,144,29,0,WD,Normal,226000
68,30,RM,47.0,4608,Reg,Lvl,Corner,Gtl,OldTown,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,No,Unf,0,Unf,747,747,TA,Y,SBrkr,747,0,747,0,1,0,2,1,TA,4,0,Attchd,1945.0,Unf,1,220,Y,0,0,0,WD,Normal,80000
69,50,RL,81.0,15593,Reg,Lvl,Corner,Gtl,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gable,BrkFace,AsbShng,0.0,Gd,TA,CBlock,TA,No,BLQ,603,Unf,701,1304,TA,Y,SBrkr,1304,983,2287,0,2,0,3,1,TA,7,1,Attchd,1953.0,Fin,2,667,Y,0,21,114,WD,Normal,225000
70,20,RL,95.0,13651,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,7,6,1973,1973,Gable,Plywood,Plywood,1115.0,TA,Gd,CBlock,Gd,Gd,ALQ,1880,Unf,343,2223,Ex,Y,SBrkr,2223,0,2223,1,2,0,3,1,TA,8,2,Attchd,1973.0,Fin,2,516,Y,300,0,0,WD,Normal,244000
